DATA,RESOLUÇÃO,CTT,,DEMANDA,ESCRITÓRIO,ATIVO/RECEPTIVO,DIRETOR,BANCO,COD,  RESPONSAVEL,SITUAÇÃO,0,,,,,,,,,
02/01/2025,15/01/2025,187561,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RENNER,05132843100,JULIANA,RESOLVIDO,AGUARDANDO PROCURAÇÃO,,,,,,,,,
02/01/2025,15/01/2025,196832,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RENNER,4005,JULIANA,RESOLVIDO,AGUARDANDO PROCURAÇÃO,,,,,,,,,
02/01/2025,15/01/2025,182579,1,50% A 80%,"FLORIANÓPOLIS, SC",ATIVO,ADRIANO,BRADESCO,BANCO,JULIANA,RESOLVIDO,AGUARDANDO PROCURAÇÃO,,,,,,,,,
02/01/2025,15/01/2025,133247,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BRADESCO,215,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,167220,2,"R$ 10.000,00",SAMUEL TERESINA,RECEPTIVO,LEANDRO,BRADESCO,214,AMANDA SANTANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
08/01/2025,15/01/2025,202894,1,"R$ 12.000,00",AUDITORIA,,LEANDRO,BV FINANCEIRA,106,AMANDA SANTANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
13/01/2025,15/01/2025,201188,1,"6.000,00",TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,15/01/2025,167968,1,valores,TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,505,GEOVANNA,RESOLVIDO,EM ACORDO,,,,,,,,,
14/01/2025,15/01/2025,211580,1,"R$6.800,00",BRUNA NOVO HAMBURGO,RECEPTIVO,ADRIANO,BV FINANCEIRA,,JULIANA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,224995,2,VALORES,ELLANY ANAPOLIS,RECEPTIVO,LEANDRO,BRADESCO,276.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,225000,2,VALORES,ELLANY ANAPOLIS,RECEPTIVO,LEANDRO,BRADESCO,276.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,225002,3,VALORES,ELLANY ANAPOLIS,RECEPTIVO,LEANDRO,BRADESCO,276.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,210067,2,VALORES,OUVIDORIA,RECEPTIVO,ADRIANO,SANTANDER,316.7,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,118335,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BRADESCO,81/32222159,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,206214,1,50% A 80%,"SÃO JOSÉ, SC",ATIVO,ADRIANO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,34854,1,50% Á 80%,NEL BELÉM,ATIVO,LEANDRO,BV FINANCEIRA,BANCO,AMANDA SANTANA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,15/01/2025,210809,1,50% Á 80%,NEL BELÉM,ATIVO,LEANDRO,BV FINANCEIRA,108.1,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,109186,1,50% A 80%,"GOIÂNIA, CENTRO, GO",ATIVO,LEANDRO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,15/01/2025,165150,2,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BV FINANCEIRA,BANCO,AMANDA SANTANA,RESOLVIDO,AT DE PARCELAS,,,,,,,,,
02/01/2025,15/01/2025,220384,2,50% A 80%,"CAXIAS DO SUL, RS",ATIVO,ADRIANO,BV FINANCEIRA,102,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,189388,1,50% A 80%,"JUIZ DE FORA, MG",ATIVO,LEANDRO,BV FINANCEIRA,BANCO,AMANDA SANTANA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,15/01/2025,208016,2,50% A 80%,"JUIZ DE FORA, MG",ATIVO,LEANDRO,BRADESCO,BANCO,JULIANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,15/01/2025,213063,1,50% A 80%,"JUIZ DE FORA, MG",ATIVO,LEANDRO,VOLKSWAGEN,602.1,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,179045,3,50% A 80%,"JOINVILLE, SC",ATIVO,ADRIANO,BRADESCO,222,VICTOR ADRIANO,RESOLVIDO,APROVADO,*negociado por Aline Salvador,,,,,,,,
02/01/2025,15/01/2025,194285,1,50% A 80%,"JOINVILLE, SC",ATIVO,ADRIANO,BRADESCO,206.1,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,215873,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,VOLKSWAGEN,BANCO,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,212531,1,50% A 80%,"CAMPO GRANDE, MS",ATIVO,LEANDRO,BRADESCO,BANCO,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,199173,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,banco,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,197538,1,50% A 80%,"VALPARAISO, GO",ATIVO,LEANDRO,TOYOTA,807,JULIANA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,15/01/2025,104693,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,15/01/2025,127626,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,banco,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,217207,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,BV FINANCEIRA,102.3,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,220853,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,BV FINANCEIRA,102.5,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,216122,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,BANCO,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,216518,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,BRADESCO,BANCO,GREICY,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,15/01/2025,219768,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,BRADESCO,208,JULIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,222582,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,535,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,136940,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BRADESCO,208.5,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,15/01/2025,154365,2,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BRADESCO,208,KATIA,RESOLVIDO,,,,,,,,,,
02/01/2025,15/01/2025,177110,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RCI,1001.1,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,15/01/2025,201135,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,VOLKSWAGEN,608,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,15/01/2025,225859,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BRADESCO,259,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,15/01/2025,224995,2,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BRADESCO,BANCO,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,*negociado por moniza,,,,,,,,
06/01/2025,15/01/2025,167214,1,VALORES,JANNE TERESINA,RECEPTIVO,,VOLKSWAGEN,622,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,15/01/2025,158884,1,valores,TICKET,RECEPTIVO,LEANDRO,BRADESCO,BANCO,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,15/01/2025,190027,1,VALORES,MONITORAMENTO,RECEPTIVO,ADRIANO,RENNER,4012,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,15/01/2025,115818,2,VALORES,MATEUS CAXIAS DO SUL,RECEPTIVO,ADRIANO,VOLKSWAGEN,608.1,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,*negociado por maria bruna,,,,,,,,
08/01/2025,15/01/2025,231188,2,ENTREGA AMIGÁVEL QUITATIVA,AF JURIDICO,,LEANDRO,SANTANDER,302,IZABEL,RESOLVIDO,REFINANCIAMENTO,,,,,,,,,
08/01/2025,15/01/2025,108878,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SAFRA,702.2,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
09/01/2025,15/01/2025,230666,1,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
09/01/2025,15/01/2025,193358,2,"R$ 10.000,00",ELIAMARA JUIZ DE FORA,RECEPTIVO,FECHADO,PANAMERICANO,514,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
09/01/2025,15/01/2025,174519,1,VALORES,JANNE TERESINA,RECEPTIVO,LEANDRO,PANAMERICANO,535,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
10/01/2025,15/01/2025,225041,2,"R$ 10.000,00",MONITORAMENTO,RECEPTIVO,,OMNI,,KATIA,RESOLVIDO,,,,,,,,,,
10/01/2025,15/01/2025,222862,1,8.000,,RECEPTIVO,ADRIANO,PANAMERICANO,510,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
13/01/2025,15/01/2025,204367,4,"R$ 2.600,00",FRANKLIN NATAL,RECEPTIVO,,BV FINANCEIRA,105,JULIANA,RESOLVIDO,APROVADO,,,,,,,,,
13/01/2025,15/01/2025,226599,1,80%,DAKINE JARAGUA,RECEPTIVO,ADRIANO,SANTANDER,312.1,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
13/01/2025,15/01/2025,229493,2,"R$ 7.000,00",NEL BELÉM,RECEPTIVO,,RCI,1001,KATIA,RESOLVIDO,,,,,,,,,,
13/01/2025,15/01/2025,223347,1,valores,TICKET,RECEPTIVO,LEANDRO,SANTANDER,301.1,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
13/01/2025,15/01/2025,224088,1,VALORES,MONITORAMENTO,RECEPTIVO,,SANTANDER,,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
13/01/2025,15/01/2025,153880,1,VERIFICAR SE QUITOU,MONITORAMENTO,RECEPTIVO,LEANDRO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
14/01/2025,15/01/2025,177573,1,VERIFICAR SE FOI REALIZADO UM CORDO,MONITORAMENTO,RECEPTIVO,ADRIANO,SANTANDER,307,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,222829,1,"R$ 12.000,00",JOICE APG,RECEPTIVO,,PANAMERICANO,501,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,232985,1,VALORES,PATRICIA SÃO JOSE,RECEPTIVO,,PANAMERICANO,502.2,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,229909,1,VALORES,PATRICIA SÃO JOSE,RECEPTIVO,,PANAMERICANO,512,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,198080,3,"R$ 4.000,00",CINARA NOVO HAMBURGO,RECEPTIVO,,VOLKSWAGEN,608,KATIA,RESOLVIDO,,,,,,,,,,
14/01/2025,15/01/2025,226372,1,VALORES,PATRICIA SÃO JOSE,RECEPTIVO,ADRIANO,BRADESCO,203.8,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,230471,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,ITAÚ,BANCO,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,187103,1,VALORES,JORGE NATAL,RECEPTIVO,ADRIANO,ITAÚ,404,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,224787,2,"R$ 4.300,00",ELIAMARA JUIZ DE FORA,RECEPTIVO,,PANAMERICANO,501,JULIANA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,170578,2,"R$ 7.000,00",AUDITORIA,RECEPTIVO,,BRADESCO,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,212688,2,valores,TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,101,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,222421,1,"10.000,00",TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,234709,1,"50.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,BANCO,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,208991,2,"15.000,00",KATLEM LUANA BRASILIA,RECEPTIVO,LEANDRO,PANAMERICANO,510,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,210704,2,"11.000,00",TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,201582,1,"R$ 15.000,00",RECEPTIVO,RECEPTIVO,ADRIANO,SANTANDER,302,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,222649,1,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,BRADESCO,326,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,216201,3,"CLIENTE RECEBEU BOLETO DE R$ 10.000,00",BRUNA NOVO HAMBURGO,ATIVO,ADRIANO,SANTANDER,301,KATIA,RESOLVIDO,,,,,,,,,,
15/01/2025,15/01/2025,216249,,valores,RECEPTIVO,RECEPTIVO,LEANDRO,BV FINANCEIRA,105,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,222016,,valores,RECEPTIVO,RECEPTIVO,LEANDRO,BRADESCO,203.8,ALINE SALVADOR,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,231655,1,"R$ 6.800,00",JONATAM TRAMANDAI,ATIVO,LEANDRO,SANTANDER,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,15/01/2025,214837,1,"R$ 7.000,00",TICKET,,ADRIANO,ITAÚ,,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,15/01/2025,218230,5,"R$ 10.000,00",MONITORAMENTO,RECEPTIVO,,BRADESCO,203.8,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,230468,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,314.1,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,201117,1,VALORES,TICKET,RECEPTIVO,LEANDRO,ITAÚ,404,ELIZABETE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,186066,1,"R$ 16.044,00",RECEPTIVO,RECEPTIVO,,BRADESCO,269,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,182006,1,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,PSA F.,3007.1,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,209363 ,1,"R$ 15.000,00",KATLEM LUANA BRASILIA,RECEPTIVO,,PANAMERICANO,501,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,211984 ,2,"R$ 7.000,00",KATLEM LUANA BRASILIA,RECEPTIVO,,,,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,222608 ,1,"R$ 7.000,00",KATLEM LUANA BRASILIA,RECEPTIVO,,,501,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,217222 ,2,"R$ 20.000,00",AF JURIDICO,RECEPTIVO,,,,,RESOLVIDO,,,,,,,,,,
15/01/2025,15/01/2025,211631 ,2,"R$ 12.000,00",VANESSA PASSO FUNDO,RECEPTIVO,,SANTANDER,312,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,221209 ,2,"R$ 13.000,00",VANESSA PASSO FUNDO,RECEPTIVO,,,,VITORIA,RESOLVIDO,CANCELADO,,,,,,,,,
15/01/2025,15/01/2025,221631,1,"R$ 8.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,,SANTANDER,312,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,190463,1,"R$ 5.500,00",TICKET,RECEPTIVO,ADRIANO,BRADESCO,201,ELIZABETE,RESOLVIDO,AGUARDANDO MINUTA E BOLETO,,,,,,,,,
15/01/2025,15/01/2025,215772,1,VALORES,RECEPTIVO,RECEPTIVO,,BV FINANCEIRA,101.1,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,183060 ,1,VALORES,SAMUEL TERESINA,RECEPTIVO,,ITAÚ,402,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,237080,1,VALORES,RECEPTIVO,RECEPTIVO,REVERSÃO,SANTANDER,310,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,219372,1,"R$10.000,00",,RECEPTIVO,LEANDRO,PANAMERICANO,502.2,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,210248,2,"R$ 4.000,00",HELLENA,RECEPTIVO,,PANAMERICANO,502,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,225560,2,valores,AUDITORIA ,RECEPTIVO,LEANDRO,ITAÚ,404,GEOVANNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,213351,2,"R$ 7.000,00",FRANKLIN NATAL,RECEPTIVO,ADRIANO,PANAMERICANO,510,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,215154,1,VERIFICAR CAMPANHA,RAILANA FLORIANOPOLIS,RECEPTIVO,ADRIANO,SANTANDER,308,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,217964,1,BOLETO,AVULSO,RECEPTIVO,ADRIANO,PANAMERICANO,,GREICY,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
15/01/2025,15/01/2025,176588,1,VALORES,,RECEPTIVO,LEANDRO,ITAÚ,BANCO,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,15/01/2025,199845,2,valores,RECEPTIVO,RECEPTIVO,,PANAMERICANO,536,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/01/2025,15/01/2025,213624,1,"R$ 6.000,00",AVULSO,RECEPTIVO,ADRIANO,BRADESCO,208.5,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/1/2025,15/1/2025,181422,1,"R$ 5.426,09",AVULSO,RECEPTIVO,ADRIANO,BV FINANCEIRA,102,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
15/1/2025,15/1/2025,208583,1,VALORES,AVULSO,RECEPTIVO,ADRIANO,VOLKSWAGEN,607,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/1/2025,15/1/2025,197206,1,"R$ 5.000,00",AVULSO,RECEPTIVO,ADRIANO,PANAMERICANO,524,ANA LIDIA,RESOLVIDO,APROVADO,,,,,,,,,
15/1/2025,15/1/2025,208023,1,VALORES,AVULSO,RECEPTIVO,,SANTANDER,,GREICY,RESOLVIDO,APROVADO,,,,,,,,,
15/1/2025,15/1/2025,208192,1,VALORES,AVULSO,RECEPTIVO,,SANTANDER,308,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
13/01/2025,16/01/2025,216856,1,CLIENTE RECEBEU PROPOSTA,AVULSO,RECEPTIVO,,SANTANDER,,ALINE SALVADOR,RESOLVIDO,AGUARDANDO BOLETO,BOLETO PAGO,,,,,,,,
08/01/2025,16/01/2025,217926,1,"26.000,00",TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,504,AMANDA SANTANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
13/01/2025,16/01/2025,223103,2,"9.000,00",TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,16/01/2025,211121,1,50% A 80%,"PASSO FUNDO, RS",ATIVO,ADRIANO,OMNI,68.2 WPP,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
14/01/2025,16/01/2025,217222,2,"R$ 20.000,00",MARCELO NOVO HAMBURGO,ATIVO,ADRIANO,SANTANDER,310,ALINE SALVADOR,RESOLVIDO,AGUARDANDO BOLETO,BOLETO PAGO,BOLETO ENVIADO,,,,,,,
15/01/2025,16/01/2025,196291,1,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,BRADESCO,214.2,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,17/01/2025,205785,1,"CLIENTE RECEBU PROPOSTA NO VALOR DE R$13.554,26",RAILANA FLORIANOPOLIS,RECEPTIVO,,BRADESCO,269.1,AMANDA SANTANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
15/1/2025,15/1/2025,175600,2,"R$ 80.898,53",RECEPTIVO,RECEPTIVO,LEANDRO,ITAÚ,401,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,16/01/2025,197655,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,BRADESCO,255.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
15/1/2025,16/01/2025,216575,3,"R$10.000,00",RECEPTIVO,RECEPTIVO,ADRIANO,GMAC,,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,16/01/2025,207506,1,VALORES,ELLANY ANAPOLIS,ATIVO,LEANDRO,BRADESCO,,JULIANA,RESOLVIDO,AGÊNCIA,,,,,,,,,
02/01/2025,16/01/2025,215592,1,50% Á 80%,KENNEDY PALHOÇA,ATIVO,ADRIANO,BRADESCO,BANCO,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,16/01/2025,202809,2,50% Á 80%,FABIO NOVO HAMBURGO,ATIVO,ADRIANO,BRADESCO,207/ 219,ALINE SALVADOR,RESOLVIDO,,,,,,,,,,
02/01/2025,16/01/2025,123387,1,50% A 80%,"PORTO ALEGRE, CENTRO HISTÓRICO, RS",ATIVO,ADRIANO,RENNER,4019,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,16/01/2025,46782,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,BRADESCO,BANCO,JULIANA,RESOLVIDO,AGÊNCIA,,,,,,,,,
02/01/2025,17/01/2025,218615,1,50% A 80%,"ITAJAÍ, SC",ATIVO,ADRIANO,BRADESCO,208.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,16/01/2025,152992,1,50% A 80%,"JOINVILLE, SC",ATIVO,ADRIANO,BV FINANCEIRA,112,VICTOR ADRIANO,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,16/01/2025,201829,1,50% A 80%,"VALPARAISO, GO",ATIVO,LEANDRO,PANAMERICANO,535,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,16/01/2025,159448,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,PANAMERICANO,516,JULIA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,16/01/2025,189073,1,50% A 80%,"PLANALTINA, GO",ATIVO,LEANDRO,PANAMERICANO,516,JULIA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
02/01/2025,16/01/2025,220360,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,504.2,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,16/01/2025,183995,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RENNER,4033.1,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,16/01/2025,193599,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RENNER,4040,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,17/01/2025,238042,1,VALORES,REVERSÃO,RECEPTIVO,,BRADESCO,BANCO,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
09/01/2025,16/01/2025,168447,1,"2.000,00",TICKET,RECEPTIVO,ADRIANO,SANTANDER,368,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
14/01/2025,16/01/2025,210388,1,50% A 80%,MAGNO PIRACICABA,RECEPTIVO,ADRIANO,PANAMERICANO,139,ALINE SALVADOR,RESOLVIDO,,,,,,,,,,
14/01/2025,16/01/2025,210067,2,"R$ 11.000,00",OUVIDORIA,RECEPTIVO,,SANTANDER,316.7,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,16/01/2025,212305 ,2,"R$ 25.000,00",KATLEM LUANA BRASILIA,RECEPTIVO,LEANDRO,SANTANDER, 312,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,16/01/2025,220844 ,2,"R$ 11.500,00",KATLEM LUANA BRASILIA,RECEPTIVO,LEANDRO,PANAMERICANO,504,GREICY,RESOLVIDO,APROVADO,,,,,,,,,
15/01/2025,16/01/2025,218548,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,316.5,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
